timestamp,nexo_price,btc_price,nexo_btc_ratio,ratio_sma,ratio_percentile,is_peak
2025-08-31 19:00:00.000000,1.238,108930.0,1.1365096851188836e-05,1.136113712933111e-05,58.035714285714285,False
2025-08-31 20:00:00.000000,1.238,109117.99,1.134551690330806e-05,1.1361213050874074e-05,51.48809523809524,False
2025-08-31 21:00:00.000000,1.234,109037.29,1.1317229179118447e-05,1.1361356107302558e-05,37.79761904761905,False
2025-08-31 22:00:00.000000,1.236,108900.46,1.134981431667047e-05,1.1361914771456275e-05,52.67857142857143,False
2025-08-31 23:00:00.000000,1.223,108246.35,1.1298302436987484e-05,1.1362087054338983e-05,27.083333333333332,False
2025-09-01 00:00:00.000000,1.225,108222.37,1.131928639152885e-05,1.1361878970736588e-05,38.392857142857146,False
2025-09-01 01:00:00.000000,1.225,108150.24,1.1326835705588818e-05,1.1361810040495208e-05,41.36904761904762,False
2025-09-01 02:00:00.000000,1.217,107617.05,1.130861698959412e-05,1.1361418346243467e-05,31.845238095238095,False
2025-09-01 03:00:00.000000,1.215,107660.01,1.1285527467441254e-05,1.1360697530236448e-05,22.321428571428573,False
2025-09-01 04:00:00.000000,1.217,107409.1,1.133051110194574e-05,1.1360838667494657e-05,43.75,False
2025-09-01 05:00:00.000000,1.224,107866.12,1.134739990647666e-05,1.1360914270496997e-05,53.273809523809526,False
2025-09-01 06:00:00.000000,1.226,108064.75,1.1345050074145362e-05,1.1360959472054185e-05,50.892857142857146,False
2025-09-01 07:00:00.000000,1.245,109432.99,1.1376825215138507e-05,1.1361154167550239e-05,61.01190476190476,False
2025-09-01 08:00:00.000000,1.253,109590.0,1.1433524956656628e-05,1.1362001401038777e-05,77.67857142857143,False
2025-09-01 09:00:00.000000,1.236,109524.12,1.128518540025704e-05,1.1361665120327343e-05,22.321428571428573,False
2025-09-01 10:00:00.000000,1.233,108571.41,1.1356580889941467e-05,1.1361150198226918e-05,55.654761904761905,False
2025-09-01 11:00:00.000000,1.236,108782.88,1.136208197466366e-05,1.1360702417100108e-05,57.44047619047619,False
2025-09-01 12:00:00.000000,1.238,109108.27,1.134652762801573e-05,1.1359801830291656e-05,51.48809523809524,False
2025-09-01 13:00:00.000000,1.23,109023.61,1.1281959935100295e-05,1.1358992714878822e-05,19.94047619047619,False
2025-09-01 14:00:00.000000,1.23,109146.6,1.126924704938129e-05,1.135783074785518e-05,15.178571428571429,False
2025-09-01 15:00:00.000000,1.224,108784.33,1.1251620522919063e-05,1.135679301417838e-05,10.416666666666666,False
